"Category","Niche","Funnel","Header","URL"
"Health & Medical","Dental office","Free Website","Designed for dental offices — new patients judge online first.","https://sweetdreams.us/free-website?niche=dental-office"
"Health & Medical","Dental office","Free Content Plan","Designed for dental offices — patients forget between cleanings.","https://sweetdreams.us/content-roadmap?niche=dental-office"
"Health & Medical","Dental office","Free Software Demo","Designed for dental offices juggling scheduling, records, and billing in separate apps.","https://sweetdreams.us/free-software?niche=dental-office"
"Health & Medical","Orthodontist","Free Website","Designed for orthodontists — families compare online before they call.","https://sweetdreams.us/free-website?niche=orthodontist"
"Health & Medical","Orthodontist","Free Content Plan","Designed for orthodontists who should be in the feed and aren't.","https://sweetdreams.us/content-roadmap?niche=orthodontist"
"Health & Medical","Orthodontist","Free Software Demo","Designed for orthodontists running scheduling and treatment tracking across too many tools.","https://sweetdreams.us/free-software?niche=orthodontist"
"Health & Medical","Chiropractic","Free Website","Designed for chiropractors — patients size up online first.","https://sweetdreams.us/free-website?niche=chiropractic"
"Health & Medical","Chiropractic","Free Content Plan","Designed for chiropractors — patients forget between visits.","https://sweetdreams.us/content-roadmap?niche=chiropractic"
"Health & Medical","Chiropractic","Free Software Demo","Designed for chiropractors booking, charting, and billing in three places.","https://sweetdreams.us/free-software?niche=chiropractic"
"Health & Medical","Med spa","Free Website","Designed for med spas — clients judge by the photos online.","https://sweetdreams.us/free-website?niche=med-spa"
"Health & Medical","Med spa","Free Content Plan","Designed for med spas that should be everywhere clients scroll.","https://sweetdreams.us/content-roadmap?niche=med-spa"
"Health & Medical","Med spa","Free Software Demo","Designed for med spas running bookings, memberships, and checkout separately.","https://sweetdreams.us/free-software?niche=med-spa"
"Health & Medical","Plastic surgeon","Free Website","Designed for surgeons — patients research online before they trust.","https://sweetdreams.us/free-website?niche=plastic-surgeon"
"Health & Medical","Plastic surgeon","Free Content Plan","Designed for surgeons whose results should be seen, not hidden.","https://sweetdreams.us/content-roadmap?niche=plastic-surgeon"
"Health & Medical","Plastic surgeon","Free Software Demo","Designed for surgeons managing consults, scheduling, and records across systems.","https://sweetdreams.us/free-software?niche=plastic-surgeon"
"Health & Medical","PT clinic","Free Website","Designed for PT clinics — patients find online before they call.","https://sweetdreams.us/free-website?niche=pt-clinic"
